train/loss,train/clip_fraction,train/explained_variance,train/learning_rate,train/value_loss,eval/mean_ep_length,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/entropy_loss,eval/success_rate,time/total_timesteps,train/std,train/n_updates,eval/mean_reward,reward/env_0,pose_reward/env_0,success_rate/env_0,distance_reward/env_0,pose_reward/env_1,reward/env_1,distance_reward/env_1,success_rate/env_1,pose_reward/env_2,distance_reward/env_2,success_rate/env_2,reward/env_2,distance_reward/env_3,pose_reward/env_3,success_rate/env_3,reward/env_3,pose_reward/env_4,distance_reward/env_4,reward/env_4,success_rate/env_4,success_rate/env_5,pose_reward/env_5,distance_reward/env_5,reward/env_5,reward/env_6,distance_reward/env_6,pose_reward/env_6,success_rate/env_6,reward/env_7,pose_reward/env_7,distance_reward/env_7,success_rate/env_7,pose_reward/env_8,reward/env_8,distance_reward/env_8,success_rate/env_8,success_rate/env_9,reward/env_9,pose_reward/env_9,distance_reward/env_9,pose_reward/env_10,success_rate/env_10,distance_reward/env_10,reward/env_10,success_rate/env_11,pose_reward/env_11,distance_reward/env_11,reward/env_11,reward/env_12,success_rate/env_12,distance_reward/env_12,pose_reward/env_12,reward/env_13,success_rate/env_13,distance_reward/env_13,pose_reward/env_13,success_rate/env_14,pose_reward/env_14,distance_reward/env_14,reward/env_14,distance_reward/env_15,pose_reward/env_15,success_rate/env_15,reward/env_15
1541.3135986328125,0.0734222412109375,-0.0002447366714477539,0.0003,4320.001063632965,102.0,-0.005940346172064892,0.0065714214,0.2,-8.51279429346323,0.0,48000,0.9990435242652893,10,-144.11704292000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-2034.567775863498,-229.53709847237192,0.0,-9.55753083821014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-185.8185122780101,-1730.708671934674,-2.6329330444355183,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,-170.7211086093096,-15.888762028775737,0.0,-1719.6592238285161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.79676659061505,-253.49149167126419,0.0,-2173.729549571279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-185.29668231504468,-5.7020631640207595,-1745.99247287439,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-206.75343494150425,-15.69457633396238,-1934.6880676527987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2150.257122287439,-9.843452633023011,-248.53273441488327,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2086.7155199833323,-236.0773004677958,-11.708619529426556,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-257.31757448161613,-2196.3638547849932,-8.743067982550055,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-2354.662205788014,-290.720813120515,-1.7228878441543505,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-264.8051501408768,0.0,-11.568222952611224,-2258.240238560926,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-251.0748529126063,-14.225583930823786,-2191.8026210605854,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2298.7603619522833,0.0,-23.58183067903319,-259.5448963130145,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2552.7197180608164,0.0,-11.137833520120214,-314.3154528233487,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-234.11711589191867,-2.1695565563411154,-2017.7200346895509,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.374735794186721,-260.4478621642143,0.0,-2224.935587750406
1331.6793212890625,0.063665771484375,1.817941665649414e-05,0.0003,3058.3864223480223,102.0,-0.005194621090595319,0.006383006,0.2,-8.492098000645637,0.0,96000,0.9955153465270996,20,-142.55744557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593.2936401367188,0.067340087890625,2.0265579223632812e-06,0.0003,1728.1535377025605,,-0.003399310535132827,0.0070170136,0.2,-8.464522157609462,,,0.9880905747413635,30,,-1835.2086073254945,-222.21585532094593,0.0,16.347754100029267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-181.44202248032812,-1538.2159707293974,25.072694025428582,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,-288.2219456825355,21.28194308376299,0.0,-2201.640015592629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,25.838577575608614,-180.764419980581,0.0,-1529.5550544298326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-195.08133206043615,16.076665752182578,-1674.0279978495219,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-230.52722531085175,28.284249129851975,-1813.4578570859999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1849.8839990876095,21.691207886950323,-230.00520773488563,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1946.0027224796154,-243.12123179124546,18.787444711309085,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-303.8517092018728,-2303.178864453677,19.988565126260337,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1891.6931980890336,-245.7154243131806,30.433224631675422,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-234.57857317380265,0.0,19.81151294380516,-1888.602361379982,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-219.6579230185325,29.354541370158042,-1741.8202898902393,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2086.663642082237,0.0,14.740656908921272,-262.5179305892943,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1651.981324752664,0.0,12.585769915245887,-187.91599070735754,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-250.56473885469953,23.003492797385555,-1965.3674763438812,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.26438068470831,-177.5579200413653,0.0,-1519.7612361399413
