#{"t_start": 1730352149.1760013, "env_id": "None"}
r,l,t
-85.110517,78,1.70919
1136.958638,51,1.874173
1053.941287,53,2.04566
1199.609169,59,2.233701
808.115484,78,2.485157
1135.902163,50,2.651556
1227.204121,54,2.816605
1131.883318,69,3.030841
1054.411802,76,3.270861
1024.344714,68,3.480175
901.455233,72,3.711699
-39.369458,73,3.951498
1119.851364,64,4.157555
1091.106824,54,4.337292
919.543604,54,4.516797
849.97095,59,4.706248
1168.103309,68,4.927501
34.229577,56,5.113863
-261.209287,67,5.330556
1234.982459,54,5.515414
1078.266113,74,5.751665
921.000873,47,5.902783
1248.329385,74,6.14079
-58.005031,70,6.373654
1153.592193,49,6.531234
1152.450342,46,6.67967
1079.937905,47,6.833566
1201.713833,55,7.017644
-205.215084,66,7.233279
-178.24107,63,7.435482
-2.832545,62,7.63149
1138.481186,53,7.800895
154.135132,64,8.005053
1193.431784,45,8.142998
239.057531,69,8.365481
838.359547,53,8.541884
1166.563639,44,8.688355
1082.328093,54,8.861596
197.162317,63,9.060331
116.868605,65,9.27499
1169.842371,70,9.535231
1103.11809,70,9.766893
1092.94029,47,9.927089
856.877927,61,10.122923
-109.106448,75,10.367446
209.495507,78,10.610628
1151.837903,60,10.799519
53.887759,48,10.955012
802.642239,61,11.147976
-266.883163,63,11.344012
